SSC_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC70001,0,3,11,13,13,0,0,0,0,41,0,5,10,13,13,9,0,0,0,46,0,3,13,3,9,4,3,0,0,38,0,0,10,8,4,0,4,0,0,29,0,0,6,12,15,3,3,0,0,42,0,0,3,4,5,4,0,0,0,15,4,5,17,18,22,13,13,0,0,86,38,27,92,118,127,97,43,6,0,549
SSC70002,0,0,0,0,5,9,3,0,0,16,0,0,3,0,5,0,0,0,0,10,0,0,0,0,3,3,0,0,0,7,0,0,0,0,5,0,0,0,0,10,0,0,4,3,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,6,8,8,7,12,7,0,49,7,20,32,23,65,54,55,13,5,279
SSC70003,0,15,36,38,35,26,9,3,0,157,0,0,29,22,27,17,11,0,0,114,0,4,25,26,28,17,6,0,0,101,0,0,23,35,22,13,5,0,0,91,0,0,31,38,27,21,5,0,0,121,0,0,6,11,9,10,4,0,0,43,19,16,52,48,37,24,21,12,3,228,117,134,353,347,296,207,181,54,13,1709
SSC70004,0,0,0,3,3,0,0,0,0,5,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,11,14,4,10,3,0,0,0,59,43,50,88,52,55,28,15,0,5,343
SSC70005,0,3,8,3,4,3,0,0,0,23,0,0,7,4,3,3,3,0,0,15,0,0,3,0,7,0,0,0,0,9,0,0,0,3,4,4,0,0,0,14,0,0,0,3,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,3,3,3,22,27,26,18,8,0,0,103,11,14,66,58,66,44,23,3,0,277
SSC70006,0,0,3,0,3,0,0,0,0,6,0,0,3,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,5,9,12,8,3,4,3,0,0,42,33,44,91,41,47,33,5,0,0,294
SSC70007,0,3,13,15,12,4,0,0,0,48,0,0,14,17,3,8,0,0,0,45,0,8,14,11,12,4,3,0,0,40,0,3,12,3,11,10,0,0,0,37,0,0,32,52,36,17,7,0,0,143,0,0,28,35,14,11,0,0,0,81,9,10,23,24,14,4,3,0,0,86,21,36,168,188,125,74,18,3,0,629
SSC70008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,4,0,3,0,0,0,0,23,19,29,36,27,51,15,6,0,3,178
SSC70009,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,3,0,5,7,0,0,0,0,27,39,54,58,45,48,18,9,5,0,276
SSC70010,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,11,13,11,27,10,11,10,0,0,0,88
SSC70011,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,43,95,71,62,34,8,5,0,421,131,81,141,118,98,54,15,4,0,645
SSC70012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,26,10,8,4,3,0,0,52,6,6,38,10,9,4,3,0,0,82
SSC70013,0,0,3,0,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,3,3,4,3,0,0,28,30,27,69,76,64,40,30,12,3,354
SSC70014,0,25,46,33,43,33,13,3,0,194,0,3,45,28,38,24,10,0,0,157,3,3,32,40,32,31,7,0,0,143,0,0,19,48,37,24,0,0,0,130,0,4,20,40,41,36,9,0,0,151,0,0,14,17,21,8,0,0,0,63,15,17,31,28,29,20,17,4,0,167,142,147,336,350,325,290,155,45,4,1799
SSC70015,0,19,58,48,46,32,7,3,0,212,0,4,47,44,42,32,5,0,0,185,0,0,37,47,45,25,3,0,0,161,0,0,28,37,46,46,4,0,0,152,0,3,32,64,54,30,3,0,0,191,0,0,8,14,34,19,3,0,0,83,19,19,42,29,47,39,10,8,3,230,163,141,407,404,409,329,118,49,11,2028
SSC70016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,9,12,5,6,0,0,0,64,15,34,33,29,14,25,15,0,0,161
SSC70018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,14,0,0,3,9,4,0,0,0,0,19
SSC70019,0,0,0,3,0,8,0,0,0,14,0,0,3,0,0,3,0,0,0,9,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,5,7,6,0,4,0,0,0,30,19,12,47,43,37,39,18,0,0,215
SSC70020,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,3,3,3,3,0,0,0,17,15,17,39,29,21,17,11,6,0,146
SSC70021,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,22,37,14,9,5,3,0,0,95,14,33,52,27,30,17,8,5,0,187
SSC70022,8,35,110,72,48,33,0,0,0,309,0,7,76,78,60,20,4,0,0,243,0,10,60,69,55,16,3,0,0,211,0,6,41,30,35,19,0,0,0,137,0,5,54,70,55,25,0,0,0,203,0,3,18,16,9,11,0,0,0,54,17,13,53,46,27,31,7,3,0,202,177,240,626,542,411,250,85,39,4,2371
SSC70023,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,6,3,0,3,0,0,0,20,25,32,90,32,37,15,11,3,0,250
SSC70024,0,0,3,5,7,3,3,0,0,21,0,0,3,7,5,7,0,0,0,17,0,0,7,4,5,3,4,0,0,18,0,0,0,0,8,8,0,0,0,17,0,0,0,3,6,8,0,0,0,17,0,0,3,0,0,0,0,0,0,8,6,6,13,17,15,14,18,0,0,92,32,28,52,50,93,70,55,11,8,401
SSC70025,4,26,33,25,11,19,5,3,0,124,0,19,53,25,26,10,7,0,0,142,0,18,45,19,24,17,3,0,0,127,0,4,28,23,29,13,0,0,0,98,0,3,45,42,51,31,6,0,0,186,0,0,22,39,48,34,4,0,0,144,15,21,36,20,26,12,7,0,0,136,121,148,346,246,260,173,72,12,4,1381
SSC70026,0,9,12,16,19,19,4,0,0,70,0,5,11,18,21,14,3,0,0,66,0,0,8,10,22,12,0,0,0,48,0,0,9,9,16,11,0,0,0,39,0,0,3,16,26,8,3,0,0,58,0,0,0,5,11,3,0,0,0,17,7,7,9,7,10,16,10,0,0,64,47,56,73,116,150,122,72,22,4,675
SSC70027,0,26,69,46,27,9,3,0,0,183,0,25,67,36,21,7,0,0,0,162,0,12,67,39,15,7,0,0,0,142,0,7,31,37,8,3,0,0,0,85,0,10,54,64,26,9,0,0,0,167,0,3,42,43,22,12,0,0,0,118,12,14,37,27,19,6,4,6,0,123,136,214,562,395,200,108,53,29,3,1696
SSC70028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,24,23,23,15,7,0,0,131
SSC70029,0,3,10,14,13,3,0,3,0,48,0,3,9,4,10,4,0,0,0,30,0,0,3,9,0,4,0,0,0,18,0,0,3,3,5,7,0,0,0,16,0,0,9,6,0,5,0,0,0,23,0,0,0,3,4,4,0,0,0,5,60,11,14,16,19,18,20,0,0,154,116,52,89,81,108,98,61,9,3,618
SSC70030,0,10,15,15,10,13,4,0,0,67,0,3,11,15,14,7,0,0,0,55,0,0,14,13,15,11,0,0,0,60,0,0,6,8,3,13,4,0,0,39,0,0,10,13,15,5,0,0,0,44,0,0,3,14,7,3,0,0,0,19,16,5,14,21,15,11,7,0,0,88,51,44,109,134,115,110,53,10,3,630
SSC70031,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,5,0,0,0,0,17,45,60,96,64,56,27,11,0,0,361
SSC70032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3
SSC70033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,10,0,3,0,0,0,0,29,17,12,35,25,21,10,7,3,3,131
SSC70034,0,0,3,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,7,0,0,3,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,0,0,17,6,9,19,14,10,18,4,3,0,75
SSC70035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,7,5,3,3,0,0,28
SSC70037,0,0,8,12,9,4,0,0,0,32,0,4,3,5,6,3,0,3,0,24,0,3,11,3,3,5,0,0,0,21,0,0,0,0,3,3,0,0,0,9,0,0,3,0,0,3,0,0,0,8,0,0,0,4,3,0,0,0,0,4,15,7,5,8,12,6,6,3,0,60,79,70,132,113,99,71,40,16,0,621
SSC70038,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,8,0,5,0,0,0,0,35,11,14,14,6,15,3,0,3,0,66
SSC70039,5,31,90,43,70,55,7,3,0,307,0,13,53,46,64,45,3,0,0,232,0,8,43,45,54,36,3,0,0,188,0,3,22,33,36,31,4,0,0,138,0,5,26,37,53,28,3,0,0,162,0,0,3,15,5,13,0,0,0,40,28,28,79,68,56,50,39,10,9,361,213,193,511,422,469,421,193,60,20,2504
SSC70040,0,16,28,18,12,16,6,0,0,93,0,5,38,17,15,20,6,0,0,93,0,0,23,16,13,16,3,3,0,74,0,0,11,10,8,10,0,0,0,44,0,0,16,14,27,26,3,3,0,84,0,0,0,11,17,22,0,0,0,51,11,47,56,16,9,14,14,5,0,165,76,151,317,152,115,155,84,32,3,1086
SSC70041,0,3,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,12,5,14,15,0,3,6,3,0,0,46
SSC70042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70043,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,14,16,14,68,29,38,16,3,3,0,195
SSC70044,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,12,0,0,0,6,3,3,5,0,0,30
SSC70045,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,70,0,0,3,0,0,0,0,88,30,78,25,22,25,15,8,4,0,212
SSC70046,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,15,6,3,4,13,17,25,24,0,0,85
SSC70047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70048,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,7,3,3,3,0,0,40
SSC70049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,14,0,0,0,0,21,13,16,32,18,28,7,0,0,0,127
SSC70051,0,6,14,11,0,0,0,0,0,29,0,3,7,0,0,0,0,0,0,12,0,0,7,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,7,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,8,29,26,7,6,0,3,0,0,84,21,104,119,45,15,4,3,0,0,318
SSC70052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4
SSC70053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70054,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,0,0,13,0,0,0,0,3,7,3,0,0,16
SSC70055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70056,0,3,8,0,6,3,0,0,0,27,0,0,3,0,3,3,0,0,0,10,0,0,0,0,3,7,0,0,0,8,0,0,4,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,3,0,0,4,3,3,14,7,9,6,0,0,0,40,7,16,69,24,41,45,9,0,0,219
SSC70057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,0,0,3,0,0,10
SSC70058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,9,0,0,0,0,20
SSC70059,3,27,107,59,30,38,14,3,0,277,0,11,94,39,39,21,9,0,0,222,0,0,64,42,37,16,3,0,0,164,0,0,27,21,21,10,5,5,0,86,0,7,22,58,41,25,4,0,0,162,0,0,12,17,20,12,3,0,0,58,13,30,129,46,44,55,32,15,3,371,132,187,766,443,367,334,206,105,28,2565
SSC70060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,4
SSC70061,0,3,8,7,9,10,0,0,0,35,0,0,5,3,7,10,0,0,0,26,0,0,8,7,9,3,4,0,0,30,0,0,0,5,13,8,0,0,0,19,0,0,0,0,7,0,0,0,0,15,0,0,0,0,3,0,0,0,0,7,3,5,0,6,13,10,11,3,0,49,26,21,41,53,71,59,42,16,3,324
SSC70062,0,11,20,3,6,3,7,0,0,46,0,15,10,5,3,3,0,0,0,33,0,11,8,3,6,5,4,0,0,32,0,0,3,4,0,3,0,0,0,16,0,4,13,0,4,4,0,0,0,23,0,0,10,9,0,0,0,0,0,18,11,11,19,10,8,9,6,0,0,89,30,88,125,57,51,53,36,9,0,455
SSC70063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,4,0,0,0,4,3,0,3,3,3,4,0,0,0,22
SSC70064,0,0,3,0,3,0,0,0,0,10,0,0,7,3,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,4,30,9,10,0,0,0,0,58
SSC70065,0,12,9,11,32,15,3,0,0,89,0,0,10,15,16,12,0,0,0,65,0,0,10,19,26,16,7,0,0,75,0,0,9,12,14,14,3,0,0,48,0,0,11,16,17,18,4,0,0,58,0,0,3,7,5,11,4,0,0,23,19,9,13,21,33,33,19,4,3,152,68,47,125,156,195,179,101,35,7,908
SSC70066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,6,3,0,3,0,3,0,0,0,12
SSC70067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,3,3,0,0,15
SSC70068,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,12,4,6,6,0,0,0,37
SSC70069,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,16,13,39,24,31,6,3,0,0,141
SSC70070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70071,0,0,3,0,3,0,0,0,0,10,0,0,0,0,4,0,0,0,0,3,0,0,0,3,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,7,3,3,20,15,22,15,16,7,0,97
SSC70072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,9
SSC70073,3,98,304,122,52,50,12,3,0,645,0,57,232,74,56,22,23,3,0,475,0,41,183,62,55,40,14,3,0,398,0,7,127,57,67,44,13,0,0,317,0,10,199,144,122,84,22,3,3,582,0,10,114,118,124,116,28,4,0,516,15,137,433,163,145,113,44,9,0,1067,121,656,2334,1007,827,647,263,57,19,5929
SSC70074,0,3,14,7,13,10,0,0,0,43,0,0,7,10,14,3,4,0,0,43,0,0,5,8,8,0,3,0,0,25,0,0,8,9,9,4,0,0,0,26,0,0,7,10,15,6,3,0,0,41,0,0,0,3,7,0,0,0,0,18,12,4,15,18,22,13,8,3,0,91,43,26,83,108,126,87,55,8,0,537
SSC70075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SSC70076,0,0,0,3,0,0,0,0,0,3,0,0,3,0,3,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,3,4,3,0,0,0,0,21,9,20,37,30,21,13,12,3,0,145
